cell_id,condition,opponent,seed,provider,cooperation_rate,action_volatility,half_life,curvature_beta2,cross_lag_peak,coop_recovery_delay,cost_usd,status
Full-Gamma_Grim_s1024_deepseek,Full-Gamma,Grim,1024,deepseek,0.58,20,,-0.14298129694022824,0,12,0.009328480000000002,ok
Full-Gamma_Grim_s511_openai,Full-Gamma,Grim,511,openai,0.46,19,,3.32713907105591,0,10,0.033287800000000006,ok
Full-Gamma_Grim_s2048_deepseek,Full-Gamma,Grim,2048,deepseek,0.5,23,,-0.004496519389631163,0,4,0.009014880000000005,degraded
Full-Gamma_Grim_s4096_anthropic,Full-Gamma,Grim,4096,anthropic,0.72,14,,-1.1053621062876389,0,14,0.11503899999999999,ok
Full-Gamma_Grim_s1024_openai,Full-Gamma,Grim,1024,openai,0.42,20,,2.308401127834103,0,10,0.0361602,ok
Full-Gamma_Grim_s2048_openai,Full-Gamma,Grim,2048,openai,0.38,17,,5.432408589467177,0,14,0.03301940000000001,ok
Full-Gamma_Grim_s8192_anthropic,Full-Gamma,Grim,8192,anthropic,0.64,22,,6.153318714277589,0,11,0.12567399999999998,ok
Full-Gamma_Grim_s4096_deepseek,Full-Gamma,Grim,4096,deepseek,0.58,21,,-3.2335047306503535,0,,0.00896784,degraded
Full-Gamma_Random_s7_anthropic,Full-Gamma,Random,7,anthropic,0.76,16,,-2.169296623857508,0,8,0.11731400000000002,degraded
Full-Gamma_Grim_s8192_deepseek,Full-Gamma,Grim,8192,deepseek,0.3,24,,1.8455892193999928,0,14,0.00926324,degraded
Full-Gamma_Random_s17_anthropic,Full-Gamma,Random,17,anthropic,0.68,22,,5.56299306824276,0,,0.126174,degraded
Full-Gamma_Grim_s4096_openai,Full-Gamma,Grim,4096,openai,0.32,21,,-9.469136053563249,0,11,0.0353154,ok
Full-Gamma_Grim_s8192_openai,Full-Gamma,Grim,8192,openai,0.4,23,,-3.3610322423582657,0,13,0.034830200000000006,ok
Full-Gamma_Random_s7_openai,Full-Gamma,Random,7,openai,0.82,15,,3.467375873875533,0,9,0.0319266,ok
Full-Gamma_Random_s7_deepseek,Full-Gamma,Random,7,deepseek,0.7,13,,-3.1088673215981797,0,5,0.008843519999999999,degraded
Full-Gamma_Random_s99_anthropic,Full-Gamma,Random,99,anthropic,0.72,20,,-4.405125686925308,0,2,0.13252400000000003,ok
Full-Gamma_Random_s17_deepseek,Full-Gamma,Random,17,deepseek,0.7,18,,-1.6009691223823894,0,,0.008981,ok
Full-Gamma_Random_s17_openai,Full-Gamma,Random,17,openai,0.6,15,,-2.147888540177821,0,,0.0359354,ok
Full-Gamma_Random_s123_anthropic,Full-Gamma,Random,123,anthropic,0.7,20,,2.0763059499617476,0,5,0.12699400000000002,degraded
Full-Gamma_Random_s256_anthropic,Full-Gamma,Random,256,anthropic,0.74,19,,4.231059348548039,0,7,0.12791900000000003,degraded
Full-Gamma_Random_s99_deepseek,Full-Gamma,Random,99,deepseek,0.64,22,,1.788451246062579,0,,0.00921928,ok
Full-Gamma_Random_s99_openai,Full-Gamma,Random,99,openai,0.56,19,,7.239350791801774,0,,0.036523,ok
Full-Gamma_Random_s123_openai,Full-Gamma,Random,123,openai,0.84,9,,-2.5545991711495026,0,2,0.034305,ok
Full-Gamma_Random_s511_anthropic,Full-Gamma,Random,511,anthropic,0.8,18,,6.123564550401763,0,,0.11573400000000002,ok
Full-Gamma_Random_s1024_anthropic,Full-Gamma,Random,1024,anthropic,0.72,17,,-2.731048831906377,0,6,0.11865400000000002,ok
Full-Gamma_Random_s256_openai,Full-Gamma,Random,256,openai,0.66,21,,3.7824587500115916,0,2,0.034675399999999995,ok
Full-Gamma_Random_s123_deepseek,Full-Gamma,Random,123,deepseek,0.74,21,,-6.6199382883521345,0,4,0.00888496,degraded
Full-Gamma_Random_s256_deepseek,Full-Gamma,Random,256,deepseek,0.82,17,,1.1506758523199048,0,8,0.0082656,degraded
Full-Gamma_Random_s511_openai,Full-Gamma,Random,511,openai,0.86,13,,-3.767901401140455,0,5,0.0314874,ok
Full-Gamma_Random_s2048_anthropic,Full-Gamma,Random,2048,anthropic,0.7,20,,-3.6926645537775693,0,9,0.117134,ok
Full-Gamma_Random_s4096_anthropic,Full-Gamma,Random,4096,anthropic,0.7,20,,-6.161623305806429,0,,0.12992399999999998,ok
Full-Gamma_Random_s1024_openai,Full-Gamma,Random,1024,openai,0.78,16,,2.850860558900005,0,4,0.0317086,ok
Full-Gamma_Random_s8192_anthropic,Full-Gamma,Random,8192,anthropic,0.74,15,,-5.251207421493085,0,5,0.105269,ok
